date,total_market_value,cash,total_equity,cumulative_deposits,total_return_pct,period_return_pct,notes
2026-07-13,2047.79,1873.58,3921.37,4440.00,-11.6809,22.4812,Automated daily close valuation from Yahoo Finance chart.
2026-07-14,2096.79,1873.58,3970.37,4440.00,-10.5773,1.2496,Automated daily close valuation from Yahoo Finance chart.
2026-07-15,2024.81,1873.58,3898.39,4440.00,-12.1984,-1.8129,Automated daily close valuation from Yahoo Finance chart.
2026-07-16,1750.06,1873.58,3623.64,4440.00,-18.3865,-7.0478,Automated daily close valuation from Yahoo Finance chart.
2026-07-17,1785.34,1873.58,3658.92,4440.00,-17.5919,0.9736,Automated daily close valuation from Yahoo Finance chart.
2026-07-20,1749.20,1873.58,3622.78,4440.00,-18.4059,-0.9877,Automated daily close valuation from Yahoo Finance chart.
2026-07-21,1871.78,1873.58,3745.36,4440.00,-15.6450,3.3836,Automated daily close valuation from Yahoo Finance chart.
2026-07-22,1867.20,1873.58,3740.78,4440.00,-15.7482,-0.1223,Historical completed-close valuation uses the exact pre-deposit account state; the confirmed USD 3000 deposit occurred on 2026-07-23 and no 2026-07-23 completed close was inferred.
2026-07-23,1840.81,4873.58,6714.39,7440.00,-9.7528,-0.7055,Historical completed-close valuation uses the exact pre-deposit account state; the confirmed USD 888 deposit occurred on 2026-07-24 and no 2026-07-24 completed close was inferred.
2026-07-24,1704.67,5761.58,7466.25,8328.00,-10.3476,11.1977,Automated daily close valuation from Yahoo Finance chart.
2026-07-27,1779.17,5761.58,7540.75,8328.00,-9.4530,0.9978,Automated daily close valuation from Yahoo Finance chart.
2026-07-28,1708.21,5761.58,7469.78,8328.00,-10.3052,-0.9411,Automated daily close valuation from Alpaca IEX daily bar fallback.
2026-07-29,1579.53,5761.58,7341.11,8328.00,-11.8503,-1.7225,Automated daily close valuation from Yahoo Finance chart.
2026-07-30,1742.40,5761.58,7503.98,8328.00,-9.8946,2.2186,Automated daily close valuation from Yahoo Finance chart.
2026-07-31,1752.93,6649.58,8402.51,9216.00,-8.8269,11.9740,Automated daily close valuation from Yahoo Finance chart.
2026-08-04,2039.57,6649.58,8689.15,9216.00,-5.7167,3.4114,Automated daily close valuation from Yahoo Finance chart.
2026-08-05,2024.12,6649.58,8673.70,9216.00,-5.8843,-0.1778,Automated daily close valuation from Yahoo Finance chart.
2026-08-06,2232.91,6446.45,8679.36,9216.00,-5.8229,0.0653,Automated daily close valuation from Yahoo Finance chart.
2026-08-07,2406.99,7334.45,9741.44,10104.00,-3.5883,2.0057,Automated daily close valuation from Yahoo Finance chart after the due weekly contribution.
2026-08-10,2317.50,7334.45,9651.95,10104.00,-4.4740,-0.9187,Automated daily close valuation from Yahoo Finance chart.
2026-08-12,2411.08,7334.45,9745.53,10104.00,-3.5478,0.9695,Automated daily close valuation from Yahoo Finance chart.
2026-08-13,2357.28,7334.45,9691.73,10104.00,-4.0803,-0.5520,Automated daily close valuation from Yahoo Finance chart.
2026-08-14,2682.22,7895.87,10578.09,10992.00,-3.7656,9.1455,Automated daily close valuation from Yahoo Finance chart.
2026-08-18,2670.10,7895.87,10565.97,10992.00,-3.8758,-0.1146,Automated daily close valuation from Yahoo Finance chart; stale closes ASTS:2026-08-17 IREN:2026-08-17 MDA:2026-08-17.
2026-08-19,2526.08,7895.87,10421.95,10992.00,-5.1860,-1.3631,Automated daily close valuation from Yahoo Finance chart.
2026-08-20,2450.06,7895.87,10345.93,10992.00,-5.8776,-0.7294,Automated daily close valuation from Yahoo Finance chart.
2026-08-21,2476.52,8783.87,11260.39,11880.00,-5.2156,8.8388,Automated daily close valuation from Yahoo Finance chart.
2026-08-24,2312.87,8783.87,11096.74,11880.00,-6.5931,-1.4533,Automated daily close valuation from Yahoo Finance chart.
2026-08-25,2295.77,8783.87,11079.64,11880.00,-6.7370,-0.1541,Automated daily close valuation from Yahoo Finance chart.
2026-08-26,2247.86,8783.87,11031.73,11880.00,-7.1403,-0.4324,Automated daily close valuation from Yahoo Finance chart.
2026-08-27,2299.74,8783.87,11083.61,11880.00,-6.7036,0.4703,Automated daily close valuation from Yahoo Finance chart.
2026-08-31,2182.32,9671.87,11854.19,12768.00,-7.1570,6.9525,Automated daily close valuation from Yahoo Finance chart.
