symbol,as_of,cash_runway_score,debt_maturity_score,variable_rate_exposure_score,atm_or_equity_program_score,convertible_or_preferred_overhang_score,project_finance_complexity_score,customer_concentration_score,overall_financing_fragility_score,review_source_ids,next_review_trigger,notes
PWR,2026-06-08,1,2,2,1,1,2,3,2,pwr_q1_2026_10q;pwr_dynamic_systems_2025_07_31,next quarterly report backlog or large-load award update,Profitable infrastructure-services company with manageable financing risk; project execution MSA backlog and customer capex cycles matter more than runway.
SPCX,2026-06-12,2,2,2,3,3,4,4,3,spcx_424b4_2026_06_12;spcx_final_pricing_fwp_2026_06_11,post-IPO float underwriter option lockup first quarterly report xAI/X capital intensity or major stock-funded transaction update,SpaceX raised large primary IPO capital but AI compute xAI/X integration stock-funded transaction capacity and mega-project capex keep financing complexity material.
MDA,2026-07-11,2,2,1,4,1,2,3,3,mda_q1_2026,next quarterly report offering close or acquisition integration update,Operating cash generation and net cash are strengths; a large offering and acquisition program add dilution and integration risk.
GILT,2026-07-11,1,1,1,1,1,2,3,2,gilt_q1_2026;gilt_comtech_2026_06_15,Comtech close financing integration or next quarterly report,Existing profitability and cash reduce fragility while transaction funding and project concentration require monitoring.
IQMX,2026-07-11,4,3,2,4,4,2,4,4,iqmx_424b3_2026_06_05,first public quarter financing backlog conversion or share-count update,Losses cash burn loan capacity and post-SPAC capitalization make financing discipline central.
NNE,2026-07-11,2,1,1,5,3,5,1,4,nne_q1_2026,licensing prototype budget ATM shelf use or material revenue,Large liquidity helps but prototype capital intensity and USD 900 million shelf create high prospective dilution.
RGTI,2026-07-12,3,1,1,4,3,1,5,4,rgti_q1_2026_10q,commercial revenue cash burn warrant or award dilution and customer concentration update,Large investments and no financial debt extend runway but operating losses share growth warrants and top-three customer concentration keep equity fragility high.
SMR,2026-07-12,4,1,1,5,4,5,3,5,smr_q1_2026_10q;smr_us460_nrc_approval_2025,binding funded deployment ENTRA1 contribution project cost ATM issuance or regulatory update,Liquidity and no debt help but milestone contributions project finance and nearly USD 1 billion remaining ATM capacity make dilution central.
AAOI,2026-07-12,4,3,2,5,5,4,5,5,aaoi_q1_2026_10q;aaoi_fab4_2026_07_01,working capital cash conversion FAB4 spending customer concentration debt warrants ATM or price update,Equity issuance funded current liquidity while working-capital burn capex converts warrants and customer concentration create high financing fragility.
HQ,2026-07-11,4,1,1,5,5,2,3,4,hq_20f_2026,paid revenue cash burn resale or warrant activity,Negligible revenue and large resale or warrant overhang create high financing and dilution fragility.
NUCL,2026-07-11,3,1,1,5,5,4,1,5,nucl_q1_2026,drilling permitting financing warrant or preferred conversion activity,Pre-development status and layered securities make continued equity financing the dominant risk.
QBTS,2026-07-11,2,1,1,4,3,2,3,3,qbts_q1_2026,bookings conversion cash burn financing or equity issuance,Liquidity is meaningful but operating losses and a high valuation keep dilution risk material.
QUBT,2026-07-11,1,1,1,4,2,2,2,3,qubt_q1_2026,organic revenue capital deployment acquisitions or equity issuance,Large cash and investments reduce runway risk while capital allocation and issuance capacity remain important.
