symbol,as_of,rate_sensitivity,credit_sensitivity,ai_capex_sensitivity,financing_sensitivity,dilution_sensitivity,regulatory_sensitivity,commodity_or_energy_sensitivity,customer_concentration_sensitivity,primary_sensitive_lanes,macro_priority_trigger,notes
PWR,2026-06-08,3,3,4,2,1,3,3,3,ai_power_and_cooling,large-load awards utility capex backlog quality labor cost project delays or valuation reset,Grid execution and large-load infrastructure monitor; macro matters through utility capex credit conditions skilled labor project timing and energy infrastructure policy.
SPCX,2026-06-12,4,3,5,4,3,4,3,4,space_infrastructure;direct_to_device_connectivity;ai_compute_infrastructure;frontier_ai_public_platforms,post-IPO valuation reset underwriter option lockup float Starship Starlink Mobile xAI compute or spectrum update,Newly public cross-lane mega-cap candidate; macro matters through AI capex power availability IPO liquidity valuation compression and financing appetite more than near-term survival.
MDA,2026-07-11,3,3,1,3,4,2,1,3,space_infrastructure,bookings backlog acquisition integration offering dilution or price dislocation,Profitable space systems lower survival sensitivity but the equity offering and acquisitions add financing and integration exposure.
GILT,2026-07-11,3,3,1,2,2,3,1,3,space_infrastructure,Comtech closing integration defense awards margins or price dislocation,Profitable ground communications has moderate project and integration sensitivity rather than acute runway risk.
IQMX,2026-07-11,5,4,2,5,5,3,1,4,quantum_computing_and_networking,public-quarter reporting backlog conversion cash burn financing or price dislocation,Early quantum-system economics are highly sensitive to financing windows valuation and customer concentration.
NNE,2026-07-11,5,4,1,5,5,5,2,2,advanced_nuclear_and_grid_constraints,licensing prototype spending shelf use revenue or price dislocation,Pre-commercial nuclear development is highly sensitive to capital markets dilution policy and regulatory timing.
RGTI,2026-07-12,5,4,2,5,5,3,1,5,quantum_computing_and_networking,commercial revenue fidelity roadmap cash burn equity issuance or valuation reset,Early-commercial quantum hardware depends on long-duration capital and concentrated customer demand while technical competition remains intense.
SMR,2026-07-12,5,4,1,5,5,5,4,3,advanced_nuclear_and_grid_constraints,binding project funding cost schedule ENTRA1 contribution ATM issuance NRC event or valuation reset,Design approval is real but project economics financing policy and dilution dominate entry risk before construction proof.
AAOI,2026-07-12,4,3,5,4,5,3,2,5,semiconductor_interconnect_and_memory,800G or 1.6T demand customer concentration working capital FAB4 spending dilution or valuation reset,Direct AI optical exposure is offset by concentrated demand heavy working-capital use capacity spending and capital-structure complexity.
INFQ,2026-07-13,5,2,1,5,5,5,1,5,quantum_computing_and_networking,government program timing commercial mix margin cash burn CHIPS terms dilution technical milestone or valuation reset,Early quantum sensing and neutral-atom economics are highly sensitive to long-duration valuation government demand technical proof and equity financing.
HQ,2026-07-11,5,4,2,5,5,3,1,3,quantum_computing_and_networking,paid revenue cash burn warrant or resale activity or price dislocation,Negligible revenue makes valuation and financing conditions more important than current operations.
NUCL,2026-07-11,5,5,1,5,5,5,5,1,advanced_nuclear_and_grid_constraints,drilling permitting uranium prices financing dilution or price dislocation,Pre-development resource value is highly sensitive to commodity policy permitting and equity financing.
QBTS,2026-07-11,5,4,2,4,4,3,1,3,quantum_computing_and_networking,bookings conversion system sales cash burn or valuation reset,Real bookings do not remove extreme duration and valuation sensitivity.
QUBT,2026-07-11,5,3,2,3,4,2,1,2,quantum_computing_and_networking,organic revenue gross profit capital deployment integration or price dislocation,Large liquidity reduces immediate financing risk but duration valuation and capital-allocation sensitivity remain high.
WYFI,2026-07-14,5,5,5,5,5,3,5,5,ai_compute_infrastructure,GPU utilization customer contracts deferred revenue conversion power cost capex debt parent control dilution or valuation reset,Early AI infrastructure growth is highly sensitive to financing terms utilization power costs concentrated contracts and equity or convertible dilution.
WULF,2026-07-14,5,5,5,5,5,4,5,5,ai_compute_infrastructure;ai_power_and_cooling,lease economics tenant support project financing construction power costs debt warrants bitcoin mix or valuation reset,Long-duration AI-campus economics remain highly sensitive to project capital credit support delivery power and concentrated-customer assumptions.
IMSR,2026-07-14,5,4,1,5,5,5,5,4,advanced_nuclear_and_grid_constraints,licensing fuel first-project funding cash burn warrants issuance or valuation reset,Precommercial advanced nuclear value is highly sensitive to rates regulation fuel project finance construction timing and equity issuance.
POET,2026-07-14,5,4,5,3,5,3,1,5,semiconductor_interconnect_and_memory,customer qualification order conversion manufacturing ramp warrants share count or valuation reset,Optical commercialization depends on AI demand and a concentrated customer while extensive warrants dominate per-share sensitivity despite substantial raised liquidity.
CIFR,2026-07-16,5,5,5,5,5,3,5,5,ai_compute_infrastructure;ai_power_and_cooling,site delivery rent project cost DSCR debt completion guarantee tenant concentration bitcoin mix dilution or valuation reset,Contracted campuses are highly sensitive to project finance credit support construction power and concentrated-tenant assumptions while legacy bitcoin economics add commodity exposure.
OCC,2026-07-16,4,5,4,5,4,1,2,4,semiconductor_interconnect_and_memory,quantified data-center mix backlog conversion margin cash flow revolver availability customer concentration dilution or valuation reset,Small scale thin cash working-capital needs and secured variable-rate revolver dependence make macro credit and customer shocks more important than the low sales multiple suggests.
STDN,2026-07-18,5,4,1,5,5,5,5,5,advanced_nuclear_and_grid_constraints,commissioning repeat delivery margin customer funding feedstock options equity plans or valuation reset,Newly public pre-scale fuel manufacturing is highly sensitive to financing windows regulation customer programs commodity inputs and dilution despite IPO liquidity.
SEI,2026-07-18,4,5,5,5,4,3,5,5,ai_power_and_cooling,Q2 cash conversion deployment capex leverage customer diversification VIE economics GESA integration or valuation reset,Leveraged AI power deployment is highly sensitive to credit customer schedules gas and equipment costs project structures and equity issuance.
QTEX,2026-07-21,5,4,2,5,5,2,1,5,quantum_computing_and_networking,customer qualification repeat order margin cash burn financing warrant exercise or valuation reset,Tiny revenue losses going-concern evidence thin liquidity and layered dilution make financing conditions and customer proof dominant.
ENRD,2026-07-22,5,5,2,5,5,5,3,5,unknown_future_bottlenecks,post-closing cash diluted capitalization gross margin RPO conversion customer diversification autonomous deployment financing or liquidity improvement,Losses negative gross profit going-concern risk leases warrants redemptions thin liquidity customers and autonomous regulation make macro and financing conditions dominant.
QSI,2026-07-23,5,4,1,5,5,2,1,4,unknown_future_bottlenecks,Proteus launch customer validation revenue margin cash burn awards financing or valuation reset,Single-molecule measurement optionality is highly sensitive to long-duration valuation and continued equity financing because current revenue is minimal and operating burn is substantial despite meaningful liquid resources.
